name,free_returns,items_sold,items_status,items_shipping,price
Pillow Slides Sandals Ultra-Soft Slippers Cloud Shoes Anti-Slip Gray NWT,True,,Brand New,0,1349
Vertico - Men's V-Spa Shower Sandals | Slide-On and Comfortable Pool-Side Shoes,True,,New (Other),0,999
Men's Hiking Adventurous Sandals Closed Toe Outdoor Beach Sport Fisherman Shoes,False,,Brand New,0,2913
Women Open Toe Low Heels Ankle Strap Summer Party Work Dress Sandals Shoes Size,False,17,Brand New,0,2659
Women's Chinese Mesh Slipper Sequin Floral Beaded Sandals Flip Flops House Shoes,True,,New (Other),399,589
Lucky Brand Women's Jasmei Leather Strappy Espadrille Wedge Sandals,False,,Brand New,0,1999
[NEW] CLOVERLAY Women's Slides Double Strap Buckle Cork Footbed Platform Sandals,False,,New (Other),,1699
New Women's Classic Beach Flip Flop Soft Sandal ||1033,False,,New (Other),,898
Brand New VEEKO Men's Slides Sandals Comfortable Flip Flops Slip On Slippers,True,,Brand New,0,2589
Crocs Unisex Crocband™ III Slide,True,0,Brand New,0,2399
[NEW] Women's Sandals Fashion Wedge Platform Flip Flops Slip On Sandals Shoes,False,,New (Other),,1399
Womens Slipper Orthopedic Wedge Heel Slip On Open Toe Mules  Wedge Slide Sandals,False,,New (Other),0,2299
"Women's Aldo Astirassa Fashion Slide Sandals, Black Patent",False,,Brand New,,1800
DREAM PAIRS Women's Sport Athletic Sandals Flexible Outdoor Walking Hiking Shoes,False,,Brand New,0,2469
adidas Comfort Flip-Flops Women's,True,,Brand New,0,2400
PILLOW SLIDES Sandals Ultra-Soft Slippers Extra Soft Cloud Shoes Slip On SPONGY,False,,New (Other),,1529
Women's Low Block Chunky Pumps Shoes Ladies Dress Heel Sandals Shoes Size US,False,0,Brand New,0,2659
adidas Adilette Aqua Slides Women's,True,0,Brand New,0,2000
adidas Adissage Slides Men's,True,0,Brand New,0,2700
Zara men's crossed sandals Black SIZE 10,False,,New (Other),0,1800
NWT Nike Benassi JDI Black white Men's Slides slide 8 9 -11 12 13 -15 flip flop ,False,164,New (Other),550,2800
NEW Womens Summer Comfort Casual Thong Flat Flip Flops Sandals Slipper shoes,False,153,New (Other),329,899
TELIC Flip Flop Sandal Lightweight Waterproof Comfort Recovery Dolphin Gray,True,,New (Other),0,4900
NORTIV 8 Mens Flip Flops Beach Sandals Lightweight EVA Sole Comfort Thongs,False,,Brand New,0,1619
Under Armour Men's UA Ignite VI Slide Athletic Flip-Flop Sandals - 3022711,True,,Brand New,0,2195
Men's Slip On Sport Slide Sandals Flip Flop Shower Shoes Slippers House Pool Gym,True,,Brand New,,1104
Reef Women's One Slide Water Friendly Sandals - Black NWT,False,0,Brand New,0,2695
PUMA Women's Cool Cat Metallic Crush Sandals,True,0,Brand New,0,1199
Under Armour Mens Ignite VI Slide Athletic Sandals Flip Flop -Pick Color & Sizes,True,9,Brand New,0,2895
Nike Mens Benassi JDI Black Slides Sandals 343880-090,True,49,Brand New,0,3199
Pillow Slides Anti-Slip Sandals Ultra Soft Cloud Home Hole Light Green US 9-10,False,,Brand New,0,1495
Women High Heel Sandals Ankle Strap Open Toe Platform Pump Dress Shoes Size US,False,0,Brand New,0,2944
New Men's Sandals Adjust Strap Open Toe Casual Sport Beach Walking Hiking Shoes,True,,New (Other),875,1289
Lacoste Men's White Sandals USM SIZE 10,False,,New (Other),0,2500
Men's Sports Slide Beach Sandals Soft Heavy Duty Beach Shower Pool Gym--06M,False,,New (Other),0,849
Alpine Swiss Mens Double Strap Slide Sandals EVA Sole Flat Casual Comfort Shoes,False,,New (Other),0,1999
"NORTY Women's Memory Foam Footbed Sandals Beach, Pool, Shower Runs 1 Size Small",False,,New (Other),0,1790
NEW Women's Platforms Mini Wedge T-Strap Sandals Flip Flops Size 5-11-1068,False,201,New (Other),0,1088
" FUZZ Winter Lined CROCS CLASSIC Clog Mens, Womens, Childrens Slippers Shoe",False,,New (Other),0,5999
NORTY Women's Memory Foam Comfort Footbed Flip Flops Slide Strap Sandals,False,,New (Other),0,1595
Crocs Unisex Baya Slide,True,0,Brand New,499,2099
Summer Sandals Strap Thong Flip Flop Men's Beach Slippers Holiday Beach Gym Pool,False,,New (Other),0,1599
Nike Offcourt Women's Slides Sandals Slippers House Shoes,True,0,New (Other),695,3724
Soda Womens Oxley-S Flip Flop Sandals,False,,Brand New,0,2200
Women's Sport Athletic Sandals Outdoor Hiking Lightweight Sandals Shoes Size US,False,,Brand New,0,2469
Adidas Adilette Clogs Superstar White Black Slip-On Swim Clog Sandals (FY8970),False,,New (Other),0,3997
Okabashi Torino Sandals Slip On Black Size LL,False,,New (Other),0,1406
Unisex Croc Classic Clog Slide Men Women Shoe Ultra Light Water-Friendly Sandals,False,27,New (Other),99,2499
Women's Real Fox Fur Slides Fuzzy Furry Slippers Sliders Sandals Summer Shoes US,False,,New (Other),0,1895
Men's Sports Slide Cushion Sandals Pool Slip On shoes,False,0,Brand New,0,1395
Fila Mens Sleek Slide Sandals Black Slip On,True,17,Brand New,0,1600
REEF PHANTOMS Flip-Flop Sandal - Brown - Authentic - Slip-On-Grip - New Slippers,False,83,Brand New,0,2999
Mens Adidas Adilette Cloudfoam+ Mono Black Slides Athletic Sandal S82137 Sz 8-13,False,116,New (Other),,2999
"Flip Flops 4 Everyone, Chancletas, Slippers, Sandals, Free Shipping!! 🌴🏖️",False,,Brand New,,799
Women Peep Toe High Heel Sandals Buckle Wedding Party Dress Shoes Size 5-11,False,0,Brand New,0,3096
Mentha Women's Sandals,False,,Brand New,499,6599
Crocs Unisex Baya Flip,True,0,Brand New,499,2099
Women Beach Orthopedic Sandals Closed Toe Mules Slippers Casual Flats Shoes Size,False,0,New (Other),0,2327
Alpine Swiss Trey Mens Flip Flops Cushion EVA Thong Sandals Comfort Beach Shoes,False,,Brand New,0,1999
DREAM PAIRS Women's Sexy Open Toe Ankle Strap High Heel Stilettos Dress Sandals,False,0,Brand New,0,2849
[NEW] CLOVERLAY Women's Sandals Gladiator Strappy Flat Flip Flops Jelly Sandal,False,,Brand New,,1499
,False,,,,
"NORTY Men's Fashion Beach, Pool, Casual, Shower Adjustable Strap Slide Sandal",False,177,New (Other),0,1390
Mens Athletic Sandals Arch Support Comfort Hiking Climbing Summer Beach Sandals,False,,Brand New,0,2659
Superdry Mens Pool Sliders,False,0,Brand New,0,1715
Kaiback Mens Brown Simple Slide Shower Sandal,True,,Brand New,0,899
Womens Slip On Sport Sandals Slides Comfort House Shoes Flip Flop Shower Slipper,False,,New (Other),0,875
DREAM PAIRS Women's  Athletic Sport Sandals  Outdoor Hiking Sandals EVA  Shoes,False,,Brand New,0,2374
Women's Double Buckle Sandals Adjustable Slide EVA Rubber Strap Waterproof,False,,New (Other),0,1275
New UGG Soft Fluff Yeah Slide Slippers Women's Shoes Sandal Black Pink Chestnut,True,94,Brand New,,8839
adidas Comfort Flip-Flops Men's,True,0,Brand New,0,2400
Birkenstock Arizona Style Cork Sandal,False,0,New (Other),0,6000
Khombu Ladies Women's Evelyn Outdoor Black Hiking Sandals - Pick your Size,False,18,New (Other),0,1599
Nike Benassi JDI Men's 343880 090 Slide Black Size US 8 FREE SHIPPING BRAND NEW,True,,New (Other),0,3150
Women's Sling Back Clog Garden Nurse Shoes Classic Slip On Rubber Mule,True,,New (Other),399,999
Men Beach Sandals Slippers Women Clogs Mule Sports Shoes Flip Flop Shoe Durable,False,18,New (Other),0,1172
Alpine Swiss Mens Sport Sandals Athletic Open Toe Outdoor Comfort Walking Shoes,False,,Brand New,0,2499
Womens Espadrilles Sandals Wedge Heel Summer Slip On Platform Sliders Shoes Size,False,0,New (Other),0,2199
Norty Women's Soft Cushioned Footbed Flip Flop Thong Sandal - Runs 1 Size Small,False,0,New (Other),0,1290
Kaiback Beachcomber Sandal - Men's Comfortable Flip Flops,True,,Brand New,0,899
Women Block Shoes Ankle Strap Sandals Close Toe Platform Flat Wedge Casual Shoes,False,,New (Other),0,2399
USA- Croc Classic Unisex Slide Men Women Shoe Ultra Light Water-Friendly Sandals,True,0,New (Other),0,2659
Womens Soft Comfort Slide Sandals Cushioned Slip On Bath House Slippers,False,,New (Other),0,975
Jordan Mens Break Black Slides Sandals AR6374 010,True,0,New (Other),0,4499
Reebok Men's Classic Slide Shoes,True,0,Brand New,0,1249
Vertico Men's Slide On Sandals Shower Poolside Shoe No Slip,True,,New (Other),0,1399
adidas Adilette Clogs Men's,True,0,Brand New,0,3600
Under Armour Womens UA Ignite IX Sandals Athletic Slides 3022717 - New 2021,True,,Brand New,0,2895
ChayChax Men's Flip Flops Outdoor Sports Thong Sandals Soft  8 Black,False,,New (Other),1595,1990
Women's  Flip Flops Sandals Slip-On Thongs Beach Pool Casual Cushioned Slippers,True,,New (Other),499,699
Men's Under Armour UA Ignite VI Slide Sandals - Black 3022711-003 NWT,False,46,Brand New,0,3145
adidas Men's Adilette Shower Slides Sandals Beach Flip Flops,True,,Brand New,0,2999
Women Orthopedic Sandals Flip Flops Beach Open Toe Flat Comfy Summer Shoes Size,False,,Brand New,0,2118
adidas Originals Adilette Slides Women's,True,,Brand New,0,3200
Men Women Summer Beach Shoes Sandals Casual Anti Slipper Runner Casual Color,False,,New (Other),0,698
Men's Clogs Garden Shoes Slip On Non Skid Mule Light Weight Sandals Casual ,False,,Brand New,0,999
sandals Unisex Size 40/41,False,,New (Other),1185,1000
Reef Men's Phantom II Flip Flops - Brown NWT,False,66,Brand New,0,3320
Telic Unisex Energy Flip Flop Sandal - Midnight Black,False,,Brand New,,4406
SKECHERS WOMEN'S MAX CUSHIONING -EXCLUSIVE SPORT SANDALS,False,,Brand New,0,4495
Reef Men's Fanning Slide Bottle Opener Sandals - Black/Silver NWT,False,,Brand New,0,5695
Ladies Hollow Out Slip On Sandals Casual Women Summer Beach Loafer Flats shoes,False,,New (Other),0,1998
adidas Adilette Aqua Slides Men's,True,0,Brand New,0,2000
Unisex CROCS Classic Slides Sandals Vegan 9+ colors,False,6,New (Other),0,2999
Women Orthopedic Sandals Platform Wedge Summer Slippers Flat Casual Shoes Size.,False,0,New (Other),0,2298
Men’s Sandals Casual Slippers Shoes Non Slip Beach Flip Flops Athletic Sandals ,False,,New (Other),0,1399
Telic Orthotic Sandals with arch support and Novalon foam,False,,New (Other),0,3500
Oakley Pier Ellipse Flip Flops Mens Sandals FOF100257 - New 2021,True,0,Brand New,0,2695
adidas Unisex Adult Adilette Sandals,True,0,Brand New,0,3589
SLM Men's Clogs Garden Shoes Slingback Sandals Nurse Slip On,False,,New (Other),0,1575
Women's Bamboo Sandal Flip Flops Beach Summer Sandal--1212,False,1278,New (Other),,575
Mens Slip On Sport Slide Sandals Flip Flop Shower Shoes Slippers House Pool Gym,True,105,Brand New,,977
Brand New Mens Slides Sandals Adjustable Buckle Comfort Slip On Flip Flops Color,True,,New (Other),455,589
Champion Men's Mega Slide Sandals White Logo Size 13- New no box,True,,New (Other),,2300
Womens Ankle Strap Sandals Summer Beach Gladiator Flip Flops Flats Shoes Size,False,0,New (Other),0,1861
*NEW* MAYARI 37 M SIZE 6-6.5 US WOMEN {MOCHA} BIRKO-FLOR SANDALS BIRKENSTOCK,False,67,Brand New,0,5997
Flojos Women's Ladies Josie Sandals Flip Flops Memory Foam Choose Size,False,,New (Other),0,1499
Black Crocs Flip Flop Women’s 8 Rubber Shoe Comfort Water ,False,,Pre-Owned,700,1500
Mens Vented Cushion Sandals Slip On Flip Flop Sport Slide Shower Shoes Gym House,False,64,Brand New,0,995
Adidas Adilette Comfort Adjustable Slide Beach Pool Sandals UNISEX Black,False,,New (Other),,2199
"Birkenstock Men's Arizona Birko-Flor Sandals, Black",False,0,Brand New,999,4795
Mens Fisherman Sandals Hook and Loop Open Toe Casual Slippers Summer Shoes Sizes,True,,Brand New,699,1089
Men's Flip Flops Thong Sandals Comfortable Light Weight Summer Beach Slippers,False,,Brand New,0,1399
BIRKENSTOCK WOMENS ARIZONA REGULAR WIDTH SANDAL BLACK BIRKO FLOR FLAT ADJUSTABLE,False,93,Brand New,0,7999
Bruno Marc Mens Outdoor Fisherman Sports Sandals Beach Walking Shoes Water Shoes,False,157,Brand New,0,1520
DREAM PAIRS Women Stilettos High Heel Sandals Ankle Strap Wedding Party Shoes,False,0,Brand New,0,2754
,False,,,,
Vertico Men's Sport Casual Shower Sandal Poolside Flip Flops,True,,New (Other),0,1199
Men's Clog Garden Water Shoes Non Skid Slip On Sandals,False,,Brand New,0,999
Women  Sandals Casual Slippers Shoes Non Slip Beach Flip Flops Athletic Sandals ,False,,New (Other),0,1499
Giani Bernini Womens Ramonaa Open Toe Casual Slingback Sandals,True,,New (Other),0,900
Calvin Klein Premium Comfort Mavett Monogram Logo Slides Sandal Pool Black Men's,True,,New (Other),999,1999
Alpine Swiss Mens Flip Flops Lightweight EVA Thong Summer Sandals Beach Shoes,False,,Brand New,0,1199
Nike Men's Man Slides Sandals Flip Flop Man Massage Flipflop Slippers Arch Strap,False,23,Brand New,0,3848
"Isaac Mizrahi Live! Pamela Women Ankle Strap Sandals, New, AA2",False,,Brand New,0,1050
[NEW] SOLEMATE Women’s Strappy Roman Gladiator Sandals Crisscross Flat Shoes,False,,Brand New,,1299
"NORTY Men's Fashion Beach, Pool, Casual, Shower Adjustable Strap Slide Sandal",False,,New (Other),0,1390
adidas Adilette Boost Slides Men's,True,0,Brand New,0,4800
Teva Men's Barracuda Shoes 12 Sport Sandals Blue Water Open Back Outdoor,False,,Pre-Owned,800,2799
Men's Body Glove Slides Sandals Adjustable strap,False,,Brand New,,2999
Summer Mens Beach Open Toe Driving Leather Flats Sandals Outdoor Casual Slippers,False,0,New (Other),0,2268
Men Genuine Leather Sandals Summer Casual Sports Beach Shoes Soft Home Slippers,True,,New (Other),0,2802
Crocs Unisex Bayaband Clog,True,0,Brand New,499,3499
Women's Low Block Heel Ankle Strap Open Toe Party Dress Pump Sandals Shoes Size,False,0,Brand New,0,2659
Man Garden Clogs Boat Shoes Mules Slip On In/Outdoor Slippers Beach Sandals,True,,Brand New,0,1399
Crocs Unisex Baya Lined Clog,True,0,Brand New,0,4799
SKECHERS WOMEN'S MAX CUSHIONING -SO FRESH SPORT SANDALS,False,,Brand New,0,4495
POPULO Men flip Flops Sport Thong Sandals - US MENS SIZE 8-13,False,0,Brand New,,1999
Pali Hawaii Sandals MEN'S  PH186 SIZE 8 BROWN,False,,New (Other),975,1475
Gurus Sustainable Yoga Sandals,False,0,New (Other),499,1199
Birkenstock Women's Madrid Birko-Flor EVA Slide Sandals,False,,Brand New,0,4949
adidas Men's Adilette Shower Slide,False,,Brand New,0,2548
"New  Ladies' Plain & Simple Two Tone Beach Flip Flop Sandals -- (**383),",False,144,New (Other),,698
LADIES WOMENS SANDALS SLING BACK LOW SUMMER BEACH CASUAL HOOK & LOOP SHOES SIZE,False,,New (Other),0,2799
Women Orthopedic Sandals Low Wedge Anti Slip Open Toe Mule Clogs Beach Slippers,False,0,New (Other),0,2355
Men's Women's Fashion Sandals Beach Shoes Casual Slippers  Foam Hole Shoes ,False,0,New (Other),0,2699
Reef Men's Newport Flip Flops Sandals - Woven Grey NWT,False,0,Brand New,0,2695
New Faux Fur Lining Slide Buckle Double Strap Flat Molded Footbed Slipper Sandal,False,,Brand New,399,1399
Vionic Womens Tide II Black 7 NEW,False,,Brand New,0,3995
New Women's Rhinestone Sandals Beach Flip Flop ,False,0,New (Other),,899
Women CK Calvin Klein Flip Flop Casual/Pool Sandals,False,,New (Other),,1999
Teva Hurricane 6502 Mens Hiking Sport Water Sandals Shoes Size 10 Black Gray,False,,Pre-Owned,895,2995
Reef Women's Ginger Sandals Black/Black 10,True,0,New (Other),0,1135
PUMA Little Kids Cool Cat Sandals,True,0,Brand New,0,999
Men's Outdoor Closed Toe Hiking Leather Sandals Summer Camping Fisherman Shoes,False,46,New (Other),0,2899
Mens Slip On Sport Sandals Slides Rubber Flip Flops Shower Slippers Pool Beach,False,84,Brand New,0,1195
New MEN's TRIBAL Tattoo Beach Sandals Beach Gym Pool ,False,233,New (Other),,899
Mens Clogs Slipper Nursing Garden Beach Sandals Camouflage Pool Shoes 7-12,False,0,Brand New,0,1595
womens mary jane shoes cotton chinese sandals Black Gray Royal  6 7 8 9 10 11 12,False,27,New (Other),398,898
NEW Nike Benassi JDI Men's  343880-090 Size 7 to 12 Black/White Slides Sandals ,False,195,New (Other),,3299
Mens Slip On Sport Sandals Slides Rubber Shower Shoes Slippers Size 7-16,False,,Brand New,0,1195
Women's Adilette Comfort Slides -  Black Sandals with Floral Print & Adidas Logo,False,0,Brand New,0,3400
NEW Old Navy Classic Flip Flops Women Black Blue Silver White Pink 6 7 8 9 10 11,False,163,New (Other),,995
PUMA Cool Cat Campus Sandals,True,0,Brand New,0,1499
Brand New NWT Hawaii Locals Rubber Slippers Flip Flops Sandals Free Shipping,False,173,New (Other),0,1249
Men's Sports Slide Pool Sandals Shower Shoes,False,,Brand New,0,995
Men's Leather Fisherman Sandals Lightweight Summer Trekking Beach Sports Shoes,False,,New (Other),0,2899
Polo Ralph Lauren Men’s Polo Sport Pool Slide in Red 809841217006,False,0,Brand New,,3600
Norty Mens Summer Comfort Casual Slide Flat Strap Shower Sandals Slip On Shoes,False,,New (Other),0,1490
"Men's Clogs Shoes Gardening Nursing Hospital Slip-on Casual Sandals, Sizes: 7-12",True,,New (Other),599,889
adidas Women's Adilette Aqua Slides Sandals Flip Flops,True,0,Brand New,0,1999
Summer Sliders Shoes Slippers Pool Flat Sandals Flip Flops Bedroom Beach Size 11,False,,New (Other),0,2248
keen mens clearwater hiking outdoor waterproof sandals size 10,False,,Pre-Owned,975,2998
Womens Orthopedic Sandals Flip Flops Open Toe Slip On Casual Flat Shoes Size US,True,,New (Other),0,2431
Nautica Mens Logo Embossed Thong Sandals,False,0,Brand New,600,1999
Clarks Womens Cora River Brown Leather Casual Sandals,True,0,Brand New,0,3499
Crocs Women’s Swiftwater™ Sandal,True,0,Brand New,499,2799
Women's Fashion Causal Buckle Wedges Heel Platform Sandal Shoes Size 5 -11 NEW,False,,New (Other),,1869
Mens Slippers Fur Lined Clogs Garden Shoes Warm and Fuzzy Sandals Comfort Shoes ,True,,Brand New,0,1849
Mens Athletic Sandals Adventure Hiking Climbing Summer Beach Sandals Size 6.5-15,False,24,Brand New,0,2851
