name,free_returns,items_sold,items_status,items_shipping,price
6 Piece Long Screwdriver Set (Pack of: 1) - PS-00695,False,148,Brand New,0,780
"Klein Tools 85742 Screwdriver Set, 3/16 Cabinet and #2 Phillips",False,,Brand New,0,1297
Ullman 6-1/4 in Double Ended Phillips & Slotted Flat Screw Starter MADE IN USA,True,1109,Brand New,,1179
"CRAFTSMAN Screwdriver Set, Assorted, 12-Piece CMHT65044",False,0,Brand New,0,2350
"NEW 14pc 3/8"" Impact Driver Set Heavy Duty SAE Reversible ",False,132,Brand New,0,1999
Proto Screwdriver Handle for Stubby Screwdriver,True,89,Open Box,0,500
58 Precision Magnetic Screwdriver Set Torx Electronic PC Laptop Repair Tool Kit,True,,Brand New,0,1292
" 1/2"" IMPACT DRIVER Set SAE Reversible Heavy Duty Set W/ Metal case",False,365,Brand New,,1495
TEKTON 2905 - 7-pc. 3/8 in. Drive Impact Screwdriver Set,False,2290,Brand New,0,2425
33 pc security bit set torx tampered proof drill driver tamper screwdrivers bits,True,5787,Brand New,0,899
Screwdriver for Ring Wifi video Doorbell Tool battery password access 1 2 3 Pro ,True,32,Brand New,0,995
MAGNETIZER DEMAGNETIZER MAGNETIC TOOL FOR SCREWDRIVER TIPS SCREW BITS PICK UP,True,889,Brand New,0,695
Screwdriver Set Torx Tools For MacBook iPhone Samsung PC Tablet Laptop 25 in 1,True,,Brand New,0,635
"Klein Tools 32581 Screwdriver, 4-in-1 Precision Electronics Screwdriver w/ Bits",True,404,Brand New,0,1121
3in1 Mini Screwdriver Tool Repair set keyring for Watch Glasses  Phone JKU,False,90,Brand New,,249
18 Pc Precision Magnetic Tip Screwdriver Set with Wall Mount and Hardware,False,255,Brand New,0,1799
"Wiha 26197 Precision Slotted & Phillips Screwdriver Set, 7 Piece - FREE SHIPPING",False,0,Brand New,0,2109
100pc Security Bit Set Torx Star Tamper Screws Hex Key Phillips Slotted Tri Wing,True,,Brand New,0,1359
PRECISION MINI JEWELER'S SCREWDRIVER SET WATCH GLASSES,True,578,Brand New,,895
"(5) 6"" long Philips Screwdriver bits Size #2  CrV 6150 Steel",False,565,Brand New,0,695
3 Pc. Offset Screwdriver Set Right Angle Phillips Flat Head Screw Driver Tool,True,,Brand New,0,795
60 in 1 Magnetic Precision Screwdriver Set Computer Pc Phone Repair Tool Kit US,False,,Brand New,0,1349
,False,,,,
11pcs T6-T40 Magnetic Head Torx Screwdriver Bit Set Security Tamper Proof Star,True,,Brand New,0,719
"6PCS Magnetic Triangle Head Screwdriver Bit S2 Steel 1/4"" Hex Shank Screwdrivers",False,,Brand New,0,869
12PCS 50mm T5-T40 Torx Head Screw Bits Driver Set Kit Tools 1/4 Inch Hex Shank,True,121,Brand New,,702
Crescent 4 pc Set of Blue Acetate Phillips/Slotted Screwdrivers USA,False,0,Open Box,0,2080
HUSKY T-Handle Screwdriver Bit 4 pc Set Driver Black USA 408-799,True,298,Brand New,,1024
45pc Security Bit Set Torx Star Tamperproof Hex Triwing Precision Tool Kit,True,,Brand New,0,1195
