name,free_returns,items_sold,items_status,items_shipping,price
Crescent 6-Piece Screwdriver Set LCCP1006,False,,Brand New,0,1299
23pc Long Hex Head Allen Wrench Drill Bit Set MM & Inch S2 Magnetic Screw Driver,True,,Brand New,0,1495
7pc Reversible Precision Jewelers Screwdriver Set Eyeglass Watch Flat Tip,True,864,Brand New,0,899
"Torx Screwdriver micro Bit Set T1,T2, T3, T4, T5,TR6 /T6H Security Hex System 4 ",True,395,Brand New,0,699
Double Ended Replacement Bits for 6 In 1 Screwdriver (Phillips & Slotted),True,136,Brand New,,675
"5pc Magnetic Nut Bit Driver Set Color Drill Setter 1/4"" 5/16"" 3/8"" 7/16"" 1/2""",True,210,Brand New,,799
Milwaukee 48-22-2710 10 Pc. Screwdriver Kit New,True,107,Brand New,,2899
14Pcs Power Nuts Driver Drill Bit Set Metric Socket Wrench 1/4'' Driver Hex Keys,True,,Brand New,0,699
Great Working Tools 18 Piece Screwdriver Set - Magnetic Steel Tip Blades & Rack,True,1241,Brand New,0,2299
,False,,,,
SAE &MM 14pc Power Nut Driver Bit Set Quick Change Non Magnetic Chrome Vanadium,True,,Brand New,0,699
CRAFTSMAN MAGNETIC HANDLE 1/4 IN 43373 NUT DRIVER Bit Set 63 PC Star Square+-Hex,True,,Brand New,0,2300
"2 Pcs 12"" inch Extra Long Magnetic Tip Philips #2 + 1/4"" inch Flat Slotted Screw",True,,Brand New,0,1059
10PC Folding Hex Key Allen Wrench Set Portable Locking Screwdriver H1.5 - H6,True,,Brand New,0,699
25 in 1 Magnetic Screwdriver Set Precision Repair Tools Kit for Cell Phone Watch,True,,Brand New,0,635
122pc Magnetic Screwdriver Bits Socket Tips Set Ratchet Handle Hex Repair Tool,True,,Brand New,0,3899
Matco tools promotional mini pocket clip pry bar green handle small new tool 2pc,True,,Brand New,0,1199
"11 Pcs Small Mini Screwdriver Set With Case Eyeglasses, Jewelry, Watch, Clock  ",False,181,Brand New,0,650
ABN Reversible Hand Held Impact Driver and Impact Screwdriver Bits Set,True,,Brand New,0,1599
CRAFTSMAN Torx Screwdriver T20 Clear 41475 NEW! SHIPS FREE!,False,,Open Box,0,625
10pc Precision Screwdriver Set Torx Phillips for Computer Electronic Repair,True,,Brand New,0,799
P5 Pentalobe S2 Screwdriver for MacBook Pro Retina & MacBook Air Lower Case 12mm,True,0,Brand New,0,139
"5pc #2 x 6"" Cord less drill Phillips Screwdriver Bit Magnetic Tip Extra Long Set",True,2680,Brand New,,679
Mini 3 in 1 Glasses Eyeglasses Sunglasses Screwdriver Mobile Phone Watch Repair,False,,Brand New,0,339
25 IN 1 Small MINI REPAIR PRECISION SCREWDRIVER TORX TOOL KIT SET PHONES FIX,True,2936,Brand New,,779
11 Pcs Mini Screwdriver Set Hand Tools Repair Kit for Eyeglasses Laptop Watch,True,,Brand New,0,731
CRAFTSMAN HAND TOOLS 18 pc Magnetic Torx Handle Screwdriver / Bit set,False,0,Brand New,0,1200
KING Screwdriver set with Stand (26-Piece),False,0,Brand New,0,2672
HORUSDY 208pcs Screwdriver Bit Set Security Bit Tamper-Proof Ultimate CR-V Steel,True,,Brand New,0,2849
"36 Piece 3"" Long Screwdriver Bit Set Hex, Pozi, Torx, Tamperproof 1/4"" Hex Shank",True,2204,Brand New,,1895
25 IN1 Small MINI REPAIR PRECISION SCREWDRIVER TORX TOOL KIT SET PHONES FIX US,True,,Brand New,,625
14 pc. SAE Metric Quick Change Power Nut Driver Bit Set w/ Detents Tekton 2938,True,3282,Brand New,,1295
"9pc Impact Magnetic Nut Driver Set Metric Nut Setter Power Drill Bit 1/4"" Shank",True,706,Brand New,,1195
