name,free_returns,items_sold,items_status,items_shipping,price
"New ListingDetective Comics 448 VG+ 4.5 * 1 Book Lot * Batman! ""Death"" of Ra's Al Ghul!",True,,,750,99
New ListingDetective Comics 446 VG+ 4.5 * 1 Book Lot * Batman! Hawkman! Hawkgirl! DC 1975!,True,,,750,99
New ListingDetective Comics 447 FN/VF 7.0 * 1 Book Lot * Batman! Creeper! Robin! DC 1975!,True,,,750,99
"HUGE 25 COMIC BOOK LOT-MARVEL/DC/INDIES- FREE Ship-VF+ to NM+, ALL AGES/PG ONLY",True,,,0,3999
New ListingTHE ARCHIE'S #3 VF+ 2018 (Archie Comic Book Series),True,,Pre-Owned,355,650
,False,,,,
New Listingmistery comic book box,False,,New (Other),1625,1500
New ListingDetective Comics 450 VG/FN 5.0 * 1 Book Lot * Batman! Robin! Walt Simonson!,True,,,750,99
"New ListingHUGE COMIC BOOK LOTS - MARVEL, DC, IMAGE, INDIES, ETC...",False,,Pre-Owned,0,2000
New ListingLot Of 6 New Mutants Marvel Comic Books # 2 3 4 5 6 7 Storm Wolverine Hulk J577,True,,,498,99
The Thing #1 Cvr A Reilly Appearance Brusque Marvel Comic 1st Print 2021 NM,True,,,485,450
BATMAN FORTNITE FOUNDATION #1 COVER A GREG CAPULLO & JONATHAN GLAPION VF/NM DC,False,0,,475,499
"New ListingMr T and the T-Force Comic Books #1, 3, 4 Sealed! 5 & A-Team #2-3 (Marvel 1984)",False,,New (Other),382,1995
New ListingMixed Lot Of Vintage Iron Man Comic Books,False,,New (Other),999,4499
New ListingVintage Gumball Mini Books Comic CHP 1966 Mighty Thor Marvel Amazing Spiderman,False,,,0,4000
New ListingLot Of 5 Captain America Marvel Comic Books # 241 242 244 245 246 Avengers J577,True,,,498,99
New ListingNew Mutants Annual # 2 NM- Marvel Comic Book X-Men Wolverine 1st Psylocke J577,True,,,498,99
AMAZING SPIDER-MAN Comic Books Vol 1-5 Issue #1-870 - 1960s-Present  - You Pick,False,8,Brand New,319,350
SHE-HULK #1 ARTGERM Variant | Marvel 2022 | 1st Print,False,,,350,399
Wolverine #72 (1993) Marvel 9.0 VF/NM Comic Book,True,,New (Other),299,458
PHENOM X #1 Muniz Main Cover A | Image | Available 11/10 (6.99 cover) Optioned ,False,,Brand New,449,499
TMNT THE LAST RONIN #5 2022 Main Cover A 1st Print IDW NM 2/16/22 PreSale,True,,Brand New,595,859
Robocop #1 Marvel 1990 NM High Grade,False,0,New (Other),499,999
The Thing #1 Cover A B C Variant Set Options Marvel 2021 Presale 11/10,True,6,Brand New,425,479
 HULK #1 Main Cover A | Donny Cates New Series | Available 11/24,False,,Brand New,449,445
New ListingBatman 426 NM 9.4 * 1 Book Lot * Death in the Family! Mike Mignola Cover!,True,,,750,99
New Listing6 Captain America Marvel Comic Books # 224 225 226 228 230 231 Avengers J577,True,,,498,99
LAST BOOK YOULL EVER READ #3 COVER C BLACK BAG VARIANT VF/NM VAULT HOHC 2021,False,0,,475,539
New ListingLot Of 5 Brave & The Bold DC Comic Books # 113 118 141 144 151 Flash Batman J577,True,,,498,99
New ListingNew Teen Titans # 1 NM DC Comic Book Raven Cyborg Flash Robin Wonder Girl J577,True,,,498,99
New ListingLot of 100 Comic Books...All Pictured  Free Shipping,False,,Pre-Owned,0,3950
New ListingMarvel lot of 6 vintage: THE ETERNALS 1985/86,False,,,445,1600
Mystery Comic Box - 10 books in each box! READ DESCRIPTION!! ,False,54,Brand New,999,3000
New Listing7 Action Comics Feat. Superman DC Comic Books # 484 485 486 487 488 489 495 J577,True,,,498,99
🚨🔥🦇 BATMAN #118 Bogdanovic 1:25 McFarlane Homage Variant ABYSS 1st App,False,0,Brand New,425,2499
New ListingArchie And Me #53 FN- 1972 (Archie Comic Books Giant Series),True,,Pre-Owned,355,400
American Mythology Productions WILLY'S WONDERLAND #1 first print Ltd ed cover,False,0,,500,720
New ListingTales Of Suspense #72 Marvel Comics 1965 Iron Man Captain America Silver Age,False,,Pre-Owned,499,2499
New ListingDetective Comics 452 FN 6.0 * 1 Book * Batman! Hawkman! Jose Luis Garcia-Lopez!,True,,,750,99
New ListingHUGE LOT OF 31 VINTAGE COMIC BOOKS- SPIDER-MAN SUPERMAN BATMAN HULK X-MEN,False,,Pre-Owned,445,6800
DARKHAWK #2 (OF 5) COVER A COELLO MARVEL COMICS 2021 EB88,False,0,Brand New,499,250
New Listingcomic books,False,,New (Other),1595,99
New ListingMicronauts # 8 1st Appearance Captain Universe Marvel Comics 1979,False,,,649,1999
Gunslinger Spawn #2 Cover A B Variant Set Options 2021 Image Presale 11/24,True,,,425,299
🚨🔥🦇 BATMAN #118 Viktor Bogdanovic McFarlane Homage Variant ABYSS 1st App,False,,Brand New,425,599
"●☆ Mystery Comic books #2 (Unsorted, Great Condition) 25 Books Per lot ☆●",False,,,508,2500
New ListingLot of 6 Sandman Comic Books! ,False,,Pre-Owned,800,1000
New ListingDetective Comics 465 FN 5.5 * 1 Book Lot * Batman! Elongated Man! Ernie Chan!,True,,,750,99
New ListingLot of 52 Fantastic Four Comic Books Nice Runs #245+ Free Shipping ,False,,,0,20999
New ListingLot 23 The Walking Dead Comic Books Graphic Novels 1-23,False,,Pre-Owned,7835,15000
"New ListingComic Books, Multiple Variations, Old, New, Lots, Marvel, DC",False,,New (Other),985,100000
New ListingTales Of Suspense #74 Marvel Comics 1965 Iron Man Captain America Silver Age,False,,Pre-Owned,499,2499
New ListingDetective Comics 453 VG/FN 5.0 * 1 Book Lot * Batman! Elongated Man! Ernie Chan!,True,,,750,99
New ListingDetective Comics 456 VG/FN 5.0 * 1 Book Lot * Batman! Elongated Man! Ernie Chan!,True,,,750,99
New ListingDetective Comics 454 VG/FN 5.0 * 1 Book Lot * Batman! Hawkman! Hawkgirl! DC 1975,True,,,750,99
New ListingThe Amazing Spider-Man #111 Gibbon & Kraven the Hunter Appearance Marvel Comic ,True,,,710,2999
New ListingBatman 427 NM 9.2 * 1 Book * Joker Kills Jason Todd - Robin! Death in the Family,True,,,750,99
New ListingBatman 406 VF 8.0 * 1 Book * Year One! Catwoman Origin! Miller & Mazzucchelli!,True,,,750,99
Inferno #3 (Of 4) Variant By Jeff Dekal ,False,0,Brand New,585,539
