name,free_returns,items_sold,items_status,items_shipping,price
Mirka Andolfo Mercy #3 Cover C 2nd Print 2020,True,,New (Other),595,1353
mistery comic book box,False,,New (Other),1625,1500
New ListingLot of 7 Marvel The Thing Comic Books #4 +  Free Ship,False,,,0,3999
BATMAN FORTNITE FOUNDATION #1 COVER A GREG CAPULLO & JONATHAN GLAPION VF/NM DC,False,0,,475,499
🚨🔥 HELLIONS #16 JOE JUSKO MARVEL MASTERPIECES VARIANT Psylocke X-Men NM,False,0,Brand New,425,399
"HUGE 25 COMIC BOOK LOT-MARVEL/DC/INDIES- FREE Ship-VF+ to NM+, ALL AGES/PG ONLY",True,,,0,3999
,False,,,,
New ListingDetective Comics 335 VG 4.0 * 1 Book Lot * Batman! Robin! Elongated Man! DC 1965,True,,,750,99
New ListingDetective Comics 446 VG+ 4.5 * 1 Book Lot * Batman! Hawkman! Hawkgirl! DC 1975!,True,,,750,99
New ListingDetective Comics 447 FN/VF 7.0 * 1 Book Lot * Batman! Creeper! Robin! DC 1975!,True,,,750,99
New ListingDetective Comics 468 FN 5.5 * 1 Book Lot * Batman! Justice League of America!,True,,,750,99
New ListingDetective Comics 473 FN 5.5 * 1 Book Lot * Batman! RObin! Silver St. Cloud!,True,,,750,99
"New Listing(3 Books!) War of the Realms: New Agents of Atlas #’s 1, 2, 3.",False,,New (Other),699,7999
The Thing #1 Cvr A Reilly Appearance Brusque Marvel Comic 1st Print 2021 NM,True,,,485,450
"New ListingHUGE COMIC BOOK LOTS - MARVEL, DC, IMAGE, INDIES, ETC...",False,,Pre-Owned,0,2000
New ListingDC Comics Robin Son Of Batman Volumes 1 & 2 Hardcover Comic Books Graphic Novels,False,,Brand New,0,3000
New ListingBatman Detective Comics  Dc 51 Lot Comic Book Comics Set Run Collection Box,True,,New (Other),999,5163
New ListingTHE INVINCIBLE #1  WHATNOT TRADE DRESS VARIANT by TYLER KIRKMAN  NM,False,,,625,99
AMAZING SPIDER-MAN Comic Books Vol 1-5 Issue #1-870 - 1960s-Present  - You Pick,False,8,Brand New,319,350
SHE-HULK #1 ARTGERM Variant | Marvel 2022 | 1st Print,False,,,350,399
Wolverine #72 (1993) Marvel 9.0 VF/NM Comic Book,True,,New (Other),299,458
New ListingTHE ARCHIE'S #3 VF+ 2018 (Archie Comic Book Series),True,,Pre-Owned,355,650
TMNT THE LAST RONIN #5 2022 Main Cover A 1st Print IDW NM 2/16/22 PreSale,True,,Brand New,595,859
"New ListingDetective Comics 448 VG+ 4.5 * 1 Book Lot * Batman! ""Death"" of Ra's Al Ghul!",True,,,750,99
Robocop #1 Marvel 1990 NM High Grade,False,0,New (Other),499,999
New ListingNeon Future Five Comic Lot 1A 1b 1C 2A and 3A  Comic Book Steve Aoki NM,False,,New (Other),425,1299
New ListingDetective Comics 358 VG+ 4.5 * 1 Book Lot * Batman! Robin! 1st Spellbinder!,True,,,750,99
New ListingLot Of 5 Captain America Marvel Comic Books # 241 242 244 245 246 Avengers J577,True,,,498,99
The Thing #1 Cover A B C Variant Set Options Marvel 2021 Presale 11/10,True,6,Brand New,425,479
New ListingDetective Comics 477 VF 8.0 * 1 Book Lot * House That Haunted Batman! DC 1978!,True,,,750,99
New ListingDetective Comics 450 VG/FN 5.0 * 1 Book Lot * Batman! Robin! Walt Simonson!,True,,,750,99
New ListingDetective Comics 478 FN/VF 7.0 * 1 Book Lot * Batman! Origin & 1st Clayface III!,True,,,750,99
New ListingLot Of 6 New Mutants Marvel Comic Books # 2 3 4 5 6 7 Storm Wolverine Hulk J577,True,,,498,99
New Listingcomic books,False,,New (Other),1270,99
New ListingDetective Comics 467 FN 5.5 * 1 Book Lot * Batman! Hawkman! Marshall Rogers!,True,,,750,99
New ListingDetective Comics 469 FN/VF 7.0 * 1 Book * Batman! Origin & 1st Doctor Phosphorus,True,,,750,99
New ListingSTAR WARS Blood Ties #1-4 Boba Fett Comic Set DARK HORSE COMICS FREE SHIPPING,False,,New (Other),0,4999
 HULK #1 Main Cover A | Donny Cates New Series | Available 11/24,False,,Brand New,449,445
🚨🔥🦇 BATMAN #118 Bogdanovic 1:25 McFarlane Homage Variant ABYSS 1st App,False,0,Brand New,425,2499
LAST BOOK YOULL EVER READ #3 COVER C BLACK BAG VARIANT VF/NM VAULT HOHC 2021,False,0,,475,539
New ListingVintage Gumball Mini Books Comic CHP 1966 Mighty Thor Marvel Amazing Spiderman,False,,,0,4000
New ListingMarvel Secret Empire #0 1 2 3 4 5 6 7 9 10 Omega FCBD - 12 Books High Grade,False,,,950,1999
Mystery Comic Box - 10 books in each box! READ DESCRIPTION!! ,False,54,Brand New,999,3000
American Mythology Productions WILLY'S WONDERLAND #1 first print Ltd ed cover,False,0,,500,720
"New ListingDetective Comics 472 FN 6.0 * 1 Book Lot * Batman! ""Death"" of Dr. Hugo Strange!",True,,,750,99
New ListingX-Men #1-#19 NM Marvel Comics Curse of the Mutants Lot of 20 Books,False,,Pre-Owned,1355,4999
🚨🔥🦇 BATMAN #118 Viktor Bogdanovic McFarlane Homage Variant ABYSS 1st App,False,,Brand New,425,599
New ListingLot of 6 - Vintage 1984 He-Man Mini Comic Books Masters of the Universe ,False,,Pre-Owned,0,5995
DARKHAWK #2 (OF 5) COVER A COELLO MARVEL COMICS 2021 EB88,False,0,Brand New,499,250
"New ListingBlack Goliath 2,3,4,5 *4 Book Lot* 1st A'Askvarii(alien race)! Claremont! Marvel",True,,,750,99
New ListingDetective Comics 356 VG 3.5 * 1 Book Lot * Batman! Robin! 1st Full Outsider!,True,,,750,99
Gunslinger Spawn #2 Cover A B Variant Set Options 2021 Image Presale 11/24,True,,,425,299
New ListingHUGE LOT OF 31 VINTAGE COMIC BOOKS- SPIDER-MAN SUPERMAN BATMAN HULK X-MEN,False,,Pre-Owned,445,6800
New ListingGun Slinger Spawn #1 - 1:50 Capullo Sketch Variant (Image) Free Combine Shipping,False,,New (Other),499,99
New ListingBeavis and Butthead Comic Books #1 thru #25 & #27 ~ #1 SIGNED BY RICH PARKER NM,False,,Brand New,400,22500
New ListingYoungblood #0 1 2 3  First App Prophet * Key Appearance * 4 Book Lot Rob Liefeld,True,,New (Other),588,99
New ListingMixed Lot Of Vintage Iron Man Comic Books,False,,New (Other),999,4499
Swamp Thing #9 DC 2021 VF/NM Comics Book ,True,0,,500,369
New ListingBatman 426 NM 9.4 * 1 Book Lot * Death in the Family! Mike Mignola Cover!,True,,,750,99
New ListingLot of 100 Comic Books...All Pictured  Free Shipping,False,,Pre-Owned,0,3950
Inferno #3 (Of 4) Variant By Jeff Dekal ,False,0,Brand New,585,539
